Date,Time,Energy Consumption (kWh),Total Cost ($)
2023-01-28,16:00:00,1.31,0.65
2023-01-28,17:00:00,1.3,0.65
2023-01-28,18:00:00,1.84,0.92
2023-01-28,19:00:00,1.19,0.59
2023-01-28,20:00:00,1.93,0.96
2023-01-28,21:00:00,1.78,0.89
2023-01-28,22:00:00,1.3,0.65
2023-01-28,23:00:00,1.36,0.68
2023-01-29,00:00:00,1.73,0.86
2023-01-29,01:00:00,0.64,0.32
2023-01-29,02:00:00,2.14,1.07
2023-01-29,03:00:00,1.81,0.9
2023-01-29,04:00:00,1.95,0.98
2023-01-29,05:00:00,1.57,0.79
2023-01-29,06:00:00,0.72,0.36
2023-01-29,07:00:00,1.31,0.66
2023-01-29,08:00:00,1.31,0.66
2023-01-29,09:00:00,1.14,0.57
2023-01-29,10:00:00,0.56,0.28
2023-01-29,11:00:00,1.97,0.99
2023-01-29,12:00:00,0.72,0.36
2023-01-29,13:00:00,1.71,0.86
2023-01-29,14:00:00,1.91,0.95
2023-01-29,15:00:00,1.77,0.88
2023-01-29,16:00:00,2.42,1.21
2023-01-29,17:00:00,0.71,0.35
2023-01-29,18:00:00,2.23,1.12
2023-01-29,19:00:00,0.56,0.28
2023-01-29,20:00:00,1.57,0.78
2023-01-29,21:00:00,1.31,0.65
2023-01-29,22:00:00,1.55,0.77
2023-01-29,23:00:00,1.23,0.62
2023-01-30,00:00:00,0.88,0.44
2023-01-30,01:00:00,0.54,0.27
2023-01-30,02:00:00,1.54,0.77
2023-01-30,03:00:00,2.19,1.09
2023-01-30,04:00:00,1.25,0.62
2023-01-30,05:00:00,0.95,0.47
2023-01-30,06:00:00,0.66,0.33
2023-01-30,07:00:00,0.67,0.34
2023-01-30,08:00:00,0.94,0.47
2023-01-30,09:00:00,0.7,0.35
2023-01-30,10:00:00,1.03,0.52
2023-01-30,11:00:00,0.63,0.32
2023-01-30,12:00:00,0.63,0.32
2023-01-30,13:00:00,2.21,1.11
2023-01-30,14:00:00,0.82,0.41
2023-01-30,15:00:00,1.62,0.81
2023-01-30,16:00:00,2.05,1.02
2023-01-30,17:00:00,1.41,0.71
2023-01-30,18:00:00,0.81,0.4
2023-01-30,19:00:00,0.9,0.45
2023-01-30,20:00:00,1.37,0.68
2023-01-30,21:00:00,1.56,0.78
2023-01-30,22:00:00,1.2,0.6
2023-01-30,23:00:00,2.06,1.03
2023-01-31,00:00:00,2.0,1.0
